,,,,,,
,09/03/18,PRE,Hibernian,2 - 0,Hearts,View events
,31/03/18,PRE,Hibernian,2 - 0,Partick Thistle,View events
,03/04/18,PRE,Hibernian,3 - 1,Hamilton Academical,View events
,21/04/18,PRE,Hibernian,2 - 1,Celtic,View events
,28/04/18,PRE,Hibernian,5 - 3,Kilmarnock,View events
,13/05/18,PRE,Hibernian,5 - 5,Rangers,View events
,08/07/18,CLF,Hibernian,0 - 2,Blackburn Rovers,
,12/07/18,UEL,Hibernian,6 - 1,NSÍ,View events
,26/07/18,UEL,Hibernian,3 - 2,Asteras Tripolis,View events
,05/08/18,PRE,Hibernian,3 - 0,Motherwell,View events
,09/08/18,UEL,Hibernian,0 - 0,Molde,
,19/08/18,LEC,Hibernian,3 - 2,Ross County,View events
,25/08/18,PRE,Hibernian,1 - 1,Aberdeen,View events
,15/09/18,PRE,Hibernian,3 - 2,Kilmarnock,View events
,25/09/18,LEC,Hibernian,0 - 0P,Aberdeen,
,06/10/18,PRE,Hibernian,6 - 0,Hamilton Academical,View events
,03/11/18,PRE,Hibernian,0 - 1,St. Johnstone,View events
,24/11/18,PRE,Hibernian,2 - 2,Dundee,View events
,05/12/18,PRE,Hibernian,2 - 2,St. Mirren,View events
,16/12/18,PRE,Hibernian,2 - 0,Celtic,View events
,19/12/18,PRE,Hibernian,0 - 0,Rangers,
,22/12/18,PRE,Hibernian,1 - 1,Livingston,View events
,29/12/18,PRE,Hibernian,0 - 1,Hearts,View events
,19/01/19,FAC,Hibernian,4 - 0,Elgin City,View events
,02/02/19,PRE,Hibernian,1 - 2,Aberdeen,View events
,09/02/19,FAC,Hibernian,3 - 1,Raith Rovers,View events
,16/02/19,PRE,Hibernian,2 - 0,Hamilton Academical,View events
,02/03/19,FAC,Hibernian,0 - 2,Celtic,View events
,08/03/19,PRE,Hibernian,1 - 1,Rangers,View events
,16/03/19,PRE,Hibernian,2 - 0,Motherwell,View events
,03/04/19,PRE,Hibernian,0 - 0,Kilmarnock,
,21/04/19,PRE,Hibernian,0 - 0,Celtic,
,28/04/19,PRE,Hibernian,1 - 1,Hearts,View events
,19/05/19,PRE,Hibernian,1 - 2,Aberdeen,View events
,20/07/19,LEC,Hibernian,2 - 0,Alloa Athletic,View events
,23/07/19,LEC,Hibernian,3 - 0,Arbroath,View events
,30/07/19,CLF,Hibernian,1 - 3,Newcastle United,
,03/08/19,PRE,Hibernian,1 - 0,St. Mirren,View events
,17/08/19,LEC,Hibernian,E5 - 3,Greenock Morton,View events
,24/08/19,PRE,Hibernian,2 - 2,St. Johnstone,View events
,22/09/19,PRE,Hibernian,1 - 2,Hearts,View events
,28/09/19,PRE,Hibernian,1 - 1,Celtic,View events
,26/10/19,PRE,Hibernian,2 - 2,Ross County,View events
,30/10/19,PRE,Hibernian,2 - 2,Livingston,View events
,02/11/19,LEC,Hibernian,2 - 5,Celtic,View events
,23/11/19,PRE,Hibernian,3 - 1,Motherwell,View events
,30/11/19,PRE,Hibernian,2 - 2,Kilmarnock,View events
,07/12/19,PRE,Hibernian,3 - 0,Aberdeen,View events
,20/12/19,PRE,Hibernian,0 - 3,Rangers,View events
,22/01/20,PRE,Hibernian,2 - 1,Hamilton Academical,View events
,28/01/20,FAC,Hibernian,4 - 2,Dundee United,View events
,01/02/20,PRE,Hibernian,2 - 2,St. Mirren,View events
,12/02/20,PRE,Hibernian,3 - 0,Ross County,View events
,22/02/20,PRE,Hibernian,1 - 1,Livingston,View events
,28/02/20,FAC,Hibernian,5 - 2,Inverness CT,View events
,03/03/20,PRE,Hibernian,1 - 3,Hearts,View events
,14/03/20,PRE,Hibernian,CANC,St. Johnstone,
,05/04/20,PRE,Hibernian,CANC,Celtic,
,01/08/20,PRE,Hibernian,2 - 1,Kilmarnock,View events
,15/08/20,PRE,Hibernian,0 - 0,Motherwell,
,30/08/20,PRE,Hibernian,0 - 1,Aberdeen,View events
,20/09/20,PRE,Hibernian,2 - 2,Rangers,View events
,02/10/20,PRE,Hibernian,3 - 2,Hamilton Academical,View events
,07/10/20,LEC,Hibernian,3 - 1,Brora Rangers,View events
,15/11/20,LEC,Hibernian,4 - 1,Dundee,View events
,21/11/20,PRE,Hibernian,2 - 2,Celtic,View events
,24/11/20,PRE,Hibernian,2 - 2,St. Johnstone,View events
,28/11/20,LEC,Hibernian,1 - 0,Dundee,View events
,19/12/20,PRE,Hibernian,15 : 00,Dundee United,
,23/12/20,PRE,Hibernian,18 : 00,St. Mirren,
,30/12/20,PRE,Hibernian,18 : 00,Ross County,
,02/01/21,PRE,Hibernian,15 : 00,Livingston,
,16/01/21,PRE,Hibernian,15 : 00,Kilmarnock,
,27/01/21,PRE,Hibernian,19 : 45,Rangers,
,06/02/21,PRE,Hibernian,15 : 00,Aberdeen,
,27/02/21,PRE,Hibernian,15 : 00,Motherwell,
,03/04/21,PRE,Hibernian,15 : 00,Hamilton Academical,
